Time,Pressure
0,0.002
0.094,0.002
0.189,0.002
0.283,0.002
0.376,0.002
0.47,0.002
0.564,0.022
0.659,0.022
0.752,0.043
0.846,0.084
0.94,0.145
1.034,0.247
1.128,0.492
1.222,0.696
1.316,0.676
1.41,0.757
1.503,0.88
1.598,1.104
1.692,1.41
1.786,1.839
1.879,2.022
1.973,2.124
2.068,2.206
2.162,2.247
2.255,2.206
2.349,2.124
2.443,2.063
2.538,1.839
2.631,1.696
2.725,1.471
2.819,1.308
2.913,1.043
3.007,0.859
3.101,0.635
3.195,0.471
3.289,0.369
3.382,0.267
3.477,0.206
3.571,0.145
3.665,0.104
3.758,0.043
3.852,0.022
3.947,0.002
4.041,0.002
4.134,0.002
4.228,0.002
4.322,0.002
4.417,0.002
4.51,0.002
4.604,0.002
4.698,0.002
4.792,0.002
4.886,0.002
4.98,0.002
5.074,0.002
